Date,Close/Last,Volume,Open,High,Low
04/26/2022,$21.55,409662,$22.51,$22.57,$21.5
04/25/2022,$22.9,318090,$22.7,$22.9,$22.31
04/22/2022,$23.03,252643,$23.47,$23.495,$23.02
04/21/2022,$23.518,351977,$24.1,$24.17,$23.45
04/20/2022,$23.33,247419,$23.51,$23.57,$23.25
04/19/2022,$23.27,443965,$22.91,$23.39,$22.91
04/18/2022,$22.16,407610,$22.3,$22.5965,$22.03
04/14/2022,$22.3,408833,$22.999,$23,$22.3
04/13/2022,$22.85,343097,$22.17,$22.8899,$22.1301
04/12/2022,$22.51,303866,$22.92,$22.98,$22.35
04/11/2022,$23,175731,$23.2,$23.4,$23
04/08/2022,$23.33,197822,$23.17,$23.59,$23.08
04/07/2022,$23.4799,185272,$23.41,$23.54,$23.12
04/06/2022,$23.24,356074,$23.21,$23.35,$23.05
04/05/2022,$24.275,230503,$24.665,$24.81,$24.24
04/04/2022,$25.08,207431,$25.05,$25.16,$24.955
04/01/2022,$25.22,303536,$25.35,$25.45,$24.94
03/31/2022,$24.67,445666,$25.099,$25.27,$24.67
03/30/2022,$25.86,434504,$26.21,$26.26,$25.81
03/29/2022,$26.45,730212,$26.12,$26.6,$25.81
03/28/2022,$24.59,330230,$24.2301,$24.61,$24.2014
03/25/2022,$24.08,217328,$24.07,$24.25,$23.875
03/24/2022,$24.37,188019,$24.18,$24.46,$24
03/23/2022,$24.16,279662,$24,$24.625,$24
03/22/2022,$24.81,419868,$24.74,$24.96,$24.5075
03/21/2022,$24.5,466882,$24.49,$24.69,$24.2
03/18/2022,$24.65,663125,$23.48,$24.73,$23.42
03/17/2022,$24.36,214246,$24.23,$24.48,$24.11
03/16/2022,$24.39,328082,$23.99,$24.69,$23.7
03/15/2022,$23.105,337851,$22.89,$23.19,$22.54
03/14/2022,$22.91,359253,$23.06,$23.35,$22.64
03/11/2022,$22.0775,424459,$22.64,$22.74,$21.91
03/10/2022,$22.19,446247,$22.17,$22.42,$22
03/09/2022,$23.28,1028272,$23.32,$23.82,$23.1
03/08/2022,$21.08,988784,$20.97,$21.67,$20.3
03/07/2022,$19.8,1392318,$20.88,$21,$19.67
03/04/2022,$21.48,1099570,$21.9,$22,$21.29
03/03/2022,$23.37,764160,$24.07,$24.16,$23.25
03/02/2022,$24.325,481821,$23.95,$24.59,$23.79
03/01/2022,$24.1,779652,$25.34,$25.53,$23.95
02/28/2022,$25.79,617933,$26.329,$26.77,$25.64
02/25/2022,$27.2,625670,$26.95,$27.246,$26.45
02/24/2022,$25.885,1016619,$25.11,$25.99,$25.05
02/23/2022,$27.25,386627,$28.34,$28.376,$27.17
02/22/2022,$27.99,595707,$28.75,$28.86,$27.692
02/18/2022,$27.4105,334329,$27.55,$27.73,$27.25
02/17/2022,$28.12,229360,$28.53,$28.6,$28.02
02/16/2022,$28.93,507574,$28.49,$28.93,$28.32
02/15/2022,$28.97,293062,$28.89,$29.09,$28.65
02/14/2022,$27.14,526565,$26.94,$27.38,$26.88
02/11/2022,$28.234,260795,$29.22,$29.33,$28.16
02/10/2022,$28.77,201858,$28.83,$29.47,$28.71
02/09/2022,$29.31,337297,$29.379,$29.85,$29.16
02/08/2022,$27.84,211929,$27.85,$28,$27.66
02/07/2022,$27.925,245298,$28.39,$28.45,$27.83
02/04/2022,$28.333,278957,$28.33,$28.48,$28
02/03/2022,$28.85,156893,$29.03,$29.16,$28.83
02/02/2022,$29.1325,196470,$29.7,$29.7,$28.93
02/01/2022,$29.37,214293,$29.49,$29.5,$29.04
01/31/2022,$28.74,264389,$28.39,$28.78,$28.32
01/28/2022,$28.06,312759,$28.19,$28.22,$27.82
01/27/2022,$28.5,295377,$29.21,$29.22,$28.3
01/26/2022,$28.69,266050,$29.44,$29.51,$28.5
01/25/2022,$28.06,292139,$27.65,$28.21,$27.4
01/24/2022,$28.085,756695,$27.46,$28.12,$27.29
01/21/2022,$29.18,620519,$29.24,$29.48,$28.97
01/20/2022,$30.07,362073,$30.06,$30.48,$30
01/19/2022,$30.19,258630,$30.67,$30.7,$30.05
01/18/2022,$30.18,555850,$30.55,$30.8365,$30.07
01/14/2022,$31.59,580419,$31.18,$31.71,$31.0801
01/13/2022,$31.28,369072,$31.49,$31.79,$31.28
01/12/2022,$31.54,270601,$31.139,$31.54,$31.08
01/11/2022,$31.35,259582,$30.85,$31.37,$30.82
01/10/2022,$30.77,255232,$31,$31,$30.237
01/07/2022,$30.792,315740,$30.64,$30.89,$30.42
01/06/2022,$30.905,236293,$30.78,$31.06,$30.56
01/05/2022,$31.08,334559,$31.2492,$31.63,$31.0175
01/04/2022,$31.31,568069,$30.611,$31.33,$30.61
01/03/2022,$30.08,303099,$29.889,$30.1,$29.8
12/31/2021,$29.2,295702,$29.495,$29.5,$29
12/30/2021,$29.09,536916,$29.25,$29.38,$29.077
12/29/2021,$29.38,446236,$29.6292,$29.7099,$29.31
12/28/2021,$29.8775,333640,$30.091,$30.17,$29.86
12/27/2021,$29.92,337093,$29.749,$29.972,$29.68
12/23/2021,$30,382835,$29.601,$30.31,$29.6
12/22/2021,$29.354,486555,$29.13,$29.38,$29.09
12/21/2021,$29.44,347066,$29.561,$29.68,$29.35
12/20/2021,$29.48,482129,$29.82,$29.92,$29.32
12/17/2021,$29.74,383960,$30.249,$30.25,$29.7
12/16/2021,$31.35,209515,$31.75,$31.82,$31.3
12/15/2021,$31.53,255760,$31.211,$31.53,$31.09
12/14/2021,$30.645,329607,$30.6,$30.93,$30.5
12/13/2021,$31.07,333307,$31.33,$31.37,$31.05
12/10/2021,$31.04,255189,$30.9,$31.1099,$30.7
12/09/2021,$31,380006,$31.35,$31.5,$31
12/08/2021,$31.83,1082528,$30.57,$31.99,$30.55
12/07/2021,$29.67,1250996,$28.76,$30,$27.7
12/06/2021,$28.49,434459,$28.21,$28.56,$27.91
12/03/2021,$28.45,583991,$28.68,$28.82,$28.15
12/02/2021,$29.19,459628,$29.15,$29.36,$29.04
12/01/2021,$29.14,598087,$29.56,$29.88,$29.14
11/30/2021,$27.85,731954,$28,$28.16,$27.6
11/29/2021,$28.7,913749,$28.97,$29.11,$28.48
11/26/2021,$29.22,499973,$29.4593,$29.6196,$29.2
11/24/2021,$30.32,537000,$29.839,$30.34,$29.77
11/23/2021,$31.38,251994,$31.279,$31.55,$31.1
11/22/2021,$31.14,412528,$31.15,$31.4,$31.1
11/19/2021,$31.255,446013,$31.34,$31.6,$31.22
11/18/2021,$32.355,569853,$32.14,$32.43,$31.7
11/17/2021,$31.81,482296,$31.3,$31.81,$31.25
11/16/2021,$31.58,527118,$32.08,$32.17,$31.58
11/15/2021,$31.79,409531,$32.28,$32.34,$31.75
11/12/2021,$32.53,286772,$32.619,$32.7,$32.4
11/11/2021,$32.66,337900,$32.87,$32.87,$32.63
11/10/2021,$32.52,490768,$32.95,$33.05,$32.47
11/09/2021,$33.0835,382038,$33.2698,$33.3,$32.9
11/08/2021,$33.092,951189,$33.3,$33.54,$32.756
11/05/2021,$34.64,337460,$34.45,$34.64,$34.19
11/04/2021,$34,351372,$34.41,$34.42,$33.61
11/03/2021,$33.98,429250,$33.27,$34.02,$33.245
11/02/2021,$33.42,557957,$33.559,$33.57,$33.16
