Date,Price,Open,High,Low,Vol.,Change %
"Apr 27, 2010",19.4,19.73,19.76,19.36,41.86K,-5.60%
"Apr 26, 2010",20.55,19.5,20.55,19.5,40.11K,2.24%
"Apr 23, 2010",20.1,20.05,20.2,19.9,10.83K,-0.50%
"Apr 22, 2010",20.2,20.3,20.3,19.9,35.82K,0.00%
"Apr 21, 2010",20.2,20.3,20.6,20,23.38K,1.25%
"Apr 20, 2010",19.95,19.9,20.1,19.9,20.16K,-0.75%
"Apr 19, 2010",20.1,19.6,20.2,19.5,45.90K,-0.74%
"Apr 16, 2010",20.25,20.71,20.71,20.08,28.47K,0.00%
"Apr 15, 2010",20.25,20,20.3,19.88,44.16K,0.00%
"Apr 14, 2010",20.25,20.2,20.25,19.75,40.13K,1.25%
"Apr 13, 2010",20,19.8,20,19.65,12.63K,2.56%
"Apr 12, 2010",19.5,19.45,19.7,19.41,9.71K,0.78%
"Apr 09, 2010",19.35,19.15,19.57,19.15,6.47K,-0.77%
"Apr 08, 2010",19.5,19.54,19.7,19.16,37.06K,-1.27%
"Apr 07, 2010",19.75,20,20.15,19.65,19.85K,-1.99%
"Apr 06, 2010",20.15,19.64,20.55,19.45,29.01K,1.26%
"Apr 05, 2010",19.9,19.96,20.01,19.75,16.62K,-0.50%
"Apr 01, 2010",20,19.55,20.25,19.5,7.63K,2.04%
"Mar 31, 2010",19.6,19.4,19.6,19.3,14.04K,0.51%
"Mar 30, 2010",19.5,19.2,19.65,19,28.08K,-0.76%
"Mar 29, 2010",19.65,19.65,19.72,16.69,32.01K,1.13%
"Mar 26, 2010",19.43,19.21,19.7,19.2,7.80K,2.80%
"Mar 25, 2010",18.9,18.88,18.94,18.73,36.03K,-1.05%
"Mar 24, 2010",19.1,19.18,19.26,18.98,78.42K,-3.78%
"Mar 23, 2010",19.85,19.8,19.95,19.42,60.08K,-4.52%
"Mar 22, 2010",20.79,20.15,20.85,20.15,17.14K,0.92%
"Mar 19, 2010",20.6,20.6,20.75,20.41,10.21K,0.49%
"Mar 18, 2010",20.5,20.75,20.84,20.36,16.98K,-2.43%
"Mar 17, 2010",21.01,20.85,21.05,20.79,31.99K,-0.19%
"Mar 16, 2010",21.05,20.65,21.05,20.65,26.90K,2.88%
"Mar 15, 2010",20.46,20.5,20.55,20.25,16.82K,-2.34%
"Mar 12, 2010",20.95,21,21.05,20.5,34.79K,2.95%
"Mar 11, 2010",20.35,19.88,20.4,19.79,28.67K,5.99%
"Mar 10, 2010",19.2,19.2,19.37,19.15,29.68K,0.52%
"Mar 09, 2010",19.1,19.15,19.18,18.95,15.35K,-1.65%
"Mar 08, 2010",19.42,19.74,19.75,19.42,52.68K,-0.51%
"Mar 05, 2010",19.52,19.05,19.66,19.05,34.53K,7.25%
"Mar 04, 2010",18.2,18.34,18.35,18,21.56K,-1.78%
"Mar 03, 2010",18.53,18.25,18.54,18.25,27.29K,3.52%
"Mar 02, 2010",17.9,17.56,17.96,17.56,11.00K,1.99%
"Mar 01, 2010",17.55,17.42,17.55,17.33,6.46K,-0.28%
"Feb 26, 2010",17.6,17.43,17.65,17.26,13.33K,0.00%
"Feb 25, 2010",17.6,17.45,17.65,17.25,16.08K,-1.40%
"Feb 24, 2010",17.85,17.59,17.91,17.53,4.42K,2.00%
"Feb 23, 2010",17.5,17.83,17.83,17.35,16.08K,-2.13%
"Feb 22, 2010",17.88,17.9,17.9,17.65,10.19K,3.95%
"Feb 19, 2010",17.2,17.34,17.41,17.15,16.62K,-2.55%
"Feb 18, 2010",17.65,17.34,17.65,17.24,24.17K,0.28%
"Feb 17, 2010",17.6,17.94,17.95,17.5,43.60K,-0.11%
"Feb 16, 2010",17.62,17.17,17.62,17.17,13.27K,3.34%
"Feb 12, 2010",17.05,16.95,17.1,16.85,34.05K,-1.45%
"Feb 11, 2010",17.3,17.39,17.39,17,17.07K,-3.08%
"Feb 10, 2010",17.85,17.97,17.98,17.7,38.27K,0.85%
"Feb 09, 2010",17.7,17.47,17.9,17.47,34.26K,2.02%
"Feb 08, 2010",17.35,17.31,17.55,17.2,17.31K,-1.70%
"Feb 05, 2010",17.65,17.73,17.8,17.02,57.62K,-4.08%
"Feb 04, 2010",18.4,18.82,18.82,18.21,28.12K,-3.92%
"Feb 03, 2010",19.15,19.09,19.34,18.98,25.99K,1.59%
"Feb 02, 2010",18.85,18.54,18.85,18.38,11.27K,0.80%
"Feb 01, 2010",18.7,18.35,18.7,18.2,23.26K,5.06%
"Jan 29, 2010",17.8,18.15,20.15,17.5,94.71K,-0.95%
"Jan 28, 2010",17.97,18.66,18.66,17.83,36.45K,-4.41%
"Jan 27, 2010",18.8,19,19,18.6,14.47K,-3.34%
"Jan 26, 2010",19.45,19.1,19.45,18.91,19.06K,0.73%
"Jan 25, 2010",19.31,19.77,19.88,19.31,16.23K,-1.48%
"Jan 22, 2010",19.6,20,20.15,19.5,86.72K,-2.00%
"Jan 21, 2010",20,20.36,20.53,19.92,181.64K,-3.38%
"Jan 20, 2010",20.7,20.86,20.91,20.28,21.18K,-0.72%
"Jan 19, 2010",20.85,20.78,21.3,20.7,10.16K,-3.02%
"Jan 15, 2010",21.5,21.14,21.6,20.73,27.28K,-0.46%
"Jan 14, 2010",21.6,21.5,22,21.25,20.25K,-1.14%
"Jan 13, 2010",21.85,21.75,22,21.43,17.75K,-0.91%
"Jan 12, 2010",22.05,21.91,22.05,21.57,28.63K,-1.56%
